name,price,rr
"SAMSUNG Galaxy F23 5G (Copper Blush, 128 GB)","₹16,999","1,74,572 Ratings & 13,590 Reviews"
"APPLE iPhone 14 (Midnight, 128 GB)","₹71,999","26,139 Ratings & 986 Reviews"
"POCO M4 Pro 5G (Yellow, 64 GB)","₹14,999","45,111 Ratings & 3,753 Reviews"
"Infinix Hot 20 5G (Blaster Green, 128 GB)","₹13,499","2,455 Ratings & 193 Reviews"
"POCO M4 Pro (Yellow, 64 GB)","₹14,999","1,59,987 Ratings & 14,165 Reviews"
"Infinix HOT 20 Play (Aurora Green, 64 GB)","₹8,499","16,350 Ratings & 825 Reviews"
"APPLE iPhone 11 (Black, 128 GB)","₹45,999","1,89,129 Ratings & 10,984 Reviews"
"SAMSUNG Galaxy F13 (Sunrise Copper, 128 GB)","₹11,999","1,33,514 Ratings & 7,609 Reviews"
Nokia 150 DS 2020,"₹2,499","21,870 Ratings & 1,686 Reviews"
"Infinix HOT 20 Play (Fantasy Purple, 64 GB)","₹8,499","16,350 Ratings & 825 Reviews"
"Realme C30 - Locked with Airtel Prepaid (Lake Blue, 32 GB)","₹5,549","94,786 Ratings & 5,000 Reviews"
"vivo T1 44W (Ice Dawn, 128 GB)","₹14,499","97,778 Ratings & 6,494 Reviews"
"REDMI A1 (Light Blue, 32 GB)","₹6,360","5,541 Ratings & 255 Reviews"
Nokia 150 DS 2020,"₹2,499","21,870 Ratings & 1,686 Reviews"
Nokia 105 PLUS,"₹1,399","8,006 Ratings & 547 Reviews"
"SAMSUNG Galaxy F13 (Nightsky Green, 128 GB)","₹11,999","1,33,514 Ratings & 7,609 Reviews"
"Infinix HOT 20 Play (Fantasy Purple, 64 GB)","₹8,499","16,350 Ratings & 825 Reviews"
"vivo T1 44W (Ice Dawn, 128 GB)","₹15,999","55,850 Ratings & 3,920 Reviews"
"SAMSUNG Galaxy M04 (Dark Blue, 64 GB)","₹8,648",810 Ratings & 57 Reviews
"POCO X5 Pro 5G (Horizon Blue, 128 GB)","₹22,999","3,580 Ratings & 379 Reviews"
Nokia 150 TA-1235 DS,"₹2,499","12,670 Ratings & 911 Reviews"
"Micromax IN 2C (Silver, 32 GB)","₹5,999","4,127 Ratings & 439 Reviews"
"realme 10 Pro+ 5G (Nebula Blue, 256 GB)","₹27,999","7,031 Ratings & 734 Reviews"
"APPLE iPhone 11 (Black, 64 GB)","₹40,999","1,89,129 Ratings & 10,984 Reviews"
SAMSUNG GURU MUSIC 2,"₹2,070","3,570 Ratings & 278 Reviews"
"Infinix Hot 20 5G (Space Blue, 128 GB)","₹13,499","2,455 Ratings & 193 Reviews"
"REDMI 10 (Caribbean Green, 128 GB)","₹11,999","27,867 Ratings & 1,943 Reviews"
"POCO M4 5G (Yellow, 128 GB)","₹14,999","31,355 Ratings & 2,307 Reviews"
"Google Pixel 6a (Charcoal, 128 GB)","₹30,999","34,646 Ratings & 4,181 Reviews"
"Google Pixel 6a (Chalk, 128 GB)","₹30,999","34,646 Ratings & 4,181 Reviews"
"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)","₹19,640","54,000 Ratings & 3,987 Reviews"
"POCO M4 Pro 5G (Yellow, 128 GB)","₹16,999","52,474 Ratings & 4,417 Reviews"
"REDMI 10 (Sunrise Orange, 64 GB)","₹9,999","2,07,741 Ratings & 12,967 Reviews"
LAVA A3,"₹1,259","19,470 Ratings & 2,132 Reviews"
LAVA GEM,"₹1,659","30,316 Ratings & 3,218 Reviews"
"Micromax IN 2C (Brown, 32 GB)","₹5,999","4,127 Ratings & 439 Reviews"
"SAMSUNG Galaxy M04 (Light Green, 64 GB)","₹8,935",810 Ratings & 57 Reviews
"REDMI Note 12 Pro 5G (Stardust Purple, 128 GB)","₹24,999","14,060 Ratings & 1,389 Reviews"
"POCO M5 (Power Black, 128 GB)","₹12,499","1,944 Ratings & 125 Reviews"
Micromax J22,"₹1,185",423 Ratings & 32 Reviews
"POCO X5 Pro 5G (Astral Black, 128 GB)","₹22,999","3,580 Ratings & 379 Reviews"
"REDMI 10A (Slate Grey, 32 GB)","₹8,345","2,215 Ratings & 141 Reviews"
"realme C33 (Sandy Gold, 64 GB)","₹9,999","63,864 Ratings & 2,773 Reviews"
"realme C33 (Night Sea, 64 GB)","₹9,999","63,864 Ratings & 2,773 Reviews"
"MOTOROLA G62 5G (Midnight Gray, 128 GB)","₹15,499","22,903 Ratings & 2,135 Reviews"
"POCO M4 Pro (Power Black, 128 GB)","₹17,999","15,340 Ratings & 1,311 Reviews"
